Actual_Risk,Predicted_Risk_Probability,Risk_Score_Percent,Risk_Segment
0,0.036741183359081615,3.67,Moderate Risk
0,0.19699358983688886,19.7,High Risk
0,0.05956220476216456,5.96,Moderate Risk
0,0.3397086413472156,33.97,Very High Risk
0,0.4126035096985069,41.26,Very High Risk
0,0.5835422219431863,58.35,Very High Risk
0,0.03924834611247956,3.92,Moderate Risk
0,0.009224286590868153,0.92,Low Risk
0,0.030014359125528727,3.0,Low Risk
0,0.11523067123947928,11.52,High Risk
0,0.07566822993402614,7.57,Moderate Risk
0,0.07693983419576594,7.69,Moderate Risk
0,0.3785636336416657,37.86,Very High Risk
0,0.17433886932582224,17.43,High Risk
0,0.15722833714521067,15.72,High Risk
0,0.08043263808097512,8.04,Moderate Risk
0,0.15964341263972348,15.96,High Risk
0,0.03499245395115949,3.5,Moderate Risk
0,0.3746051858988963,37.46,Very High Risk
0,0.2817945951472633,28.18,Very High Risk
0,0.16170283286506595,16.17,High Risk
0,0.02326211807440217,2.33,Low Risk
0,0.24481916461873546,24.48,Very High Risk
0,0.5254347172069006,52.54,Very High Risk
0,0.015006997565607463,1.5,Low Risk
0,0.6115669638952117,61.16,Very High Risk
0,0.17002574207592142,17.0,High Risk
0,0.16106845125896127,16.11,High Risk
0,0.05514840022030261,5.51,Moderate Risk
0,0.8479026763156728,84.79,Very High Risk
0,0.2522970540451972,25.23,Very High Risk
0,0.8221469427239906,82.21,Very High Risk
0,0.17325465778423282,17.33,High Risk
0,0.09819756764040224,9.82,High Risk
0,0.2561618795555374,25.62,Very High Risk
0,0.08192527413375315,8.19,Moderate Risk
0,0.06454893824159277,6.45,Moderate Risk
0,0.11496259953062117,11.5,High Risk
0,0.03620146808138943,3.62,Moderate Risk
0,0.3511334045504951,35.11,Very High Risk
0,0.03565715718553836,3.57,Moderate Risk
0,0.06288668927974873,6.29,Moderate Risk
0,0.20431083861119798,20.43,High Risk
0,0.2846718560926735,28.47,Very High Risk
0,0.0021186893229595996,0.21,Low Risk
0,0.049369926200319866,4.94,Moderate Risk
0,0.03590170224034509,3.59,Moderate Risk
0,0.08807105892295099,8.81,Moderate Risk
0,0.1454683225403896,14.55,High Risk
0,0.05811784417167332,5.81,Moderate Risk
0,0.4431078157314633,44.31,Very High Risk
0,0.07587586454406949,7.59,Moderate Risk
0,0.040934590149551385,4.09,Moderate Risk
0,0.8478288357060465,84.78,Very High Risk
0,0.00986418465120041,0.99,Low Risk
0,0.1320746425242953,13.21,High Risk
1,0.22081702063428943,22.08,High Risk
0,0.018291686439573327,1.83,Low Risk
0,0.010488544300747832,1.05,Low Risk
0,0.027240192000458508,2.72,Low Risk
0,0.10166496829658207,10.17,High Risk
0,0.038197711626697814,3.82,Moderate Risk
0,0.05984221914875401,5.98,Moderate Risk
0,0.7796641759700907,77.97,Very High Risk
0,0.1607813274483245,16.08,High Risk
0,0.267761240843799,26.78,Very High Risk
0,0.05375126751533978,5.38,Moderate Risk
0,0.2720591229078684,27.21,Very High Risk
0,0.6004793847257666,60.05,Very High Risk
0,0.0743667529725728,7.44,Moderate Risk
0,0.032764841074325694,3.28,Low Risk
0,0.09015325042961643,9.02,Moderate Risk
0,0.10147568883656068,10.15,High Risk
0,0.079559719624563,7.96,Moderate Risk
0,0.13824234378179615,13.82,High Risk
0,0.19240410224079604,19.24,High Risk
0,0.7517081740877039,75.17,Very High Risk
0,0.39536946822736274,39.54,Very High Risk
0,0.02809094088632983,2.81,Low Risk
0,0.00044893722740804964,0.04,Low Risk
0,0.31387098289488813,31.39,Very High Risk
0,0.2721520236888405,27.22,Very High Risk
0,0.22333200502195324,22.33,High Risk
0,0.695129940232465,69.51,Very High Risk
0,0.08863179800042557,8.86,Moderate Risk
